,버거킹 매장수,맥도날드 매장수,KFC 매장수,롯데리아 매장수,버거 지수
강릉,1,1,0,5,0.4
거제,4,3,0,4,1.75
경산,4,0,2,8,0.75
경주,1,4,1,8,0.75
고양 덕양,3,8,2,9,1.44
고양 일산동,7,8,2,5,3.4
고양 일산서,2,1,2,9,0.56
광명,1,5,1,1,7.0
광양,1,1,0,2,1.0
광주,1,0,0,6,0.17
광주 광산,3,3,1,10,0.7
광주 동구,2,0,0,3,0.67
광주 북구,4,5,2,5,2.2
광주 서구,3,3,4,13,0.77
구리,1,3,3,2,3.5
구미,6,7,1,8,1.75
군산,1,3,0,7,0.57
군포,1,2,0,5,0.6
김천,1,1,0,3,0.67
김포,4,5,5,8,1.75
김해,3,9,4,10,1.6
남양주,4,6,2,4,3.0
대구 남구,1,2,2,1,5.0
대구 달서,3,16,3,7,3.14
대구 달성,2,2,0,5,0.8
대구 동구,3,4,0,10,0.7
대구 북구,5,4,3,7,1.71
대구 서구,1,1,1,5,0.6
대구 수성,6,12,2,10,2.0
대구 중구,6,5,5,7,2.29
대전 동구,2,3,0,9,0.56
대전 서구,11,7,5,11,2.09
대전 유성,3,2,2,11,0.64
대전 중구,5,8,3,8,2.0
동두천,2,1,0,1,3.0
목포,2,5,0,4,1.75
무안,1,1,0,2,1.0
부산 금정,2,4,1,4,1.75
부산 기장,1,2,0,5,0.6
부산 남구,3,3,0,3,2.0
부산 동래,2,12,0,5,2.8
부산 부산진,1,10,2,8,1.62
부산 사상,1,5,1,3,2.33
부산 연제,2,7,0,5,1.8
부산 중구,2,1,2,2,2.5
부산 해운대,7,9,0,12,1.33
부천,7,9,3,5,3.8
사천,1,1,0,3,0.67
상주,1,0,0,2,0.5
서산,1,1,0,5,0.4
서울 강남,24,14,10,8,6.0
서울 강동,6,7,2,7,2.14
서울 강서,8,8,5,9,2.33
서울 관악,4,2,2,6,1.33
서울 광진,4,4,2,9,1.11
서울 구로,4,6,0,4,2.5
서울 금천,2,6,2,4,2.5
서울 노원,1,5,7,5,2.6
서울 도봉,4,3,1,2,4.0
서울 동대문,3,6,0,7,1.29
서울 동작,2,4,2,6,1.33
서울 마포,5,5,4,8,1.75
서울 서대문,11,4,4,9,2.11
서울 서초,12,9,6,7,3.86
서울 성동,2,3,1,8,0.75
서울 성북,5,3,0,10,0.8
서울 송파,5,7,1,12,1.08
서울 양천,6,6,0,4,3.0
서울 영등포,7,5,1,8,1.62
서울 용산,2,2,2,11,0.55
서울 은평,5,4,1,2,5.0
서울 종로,3,7,0,2,5.0
서울 중구,15,4,3,5,4.4
서울 중랑,4,3,0,3,2.33
성남 분당,13,9,6,6,4.67
성남 수정,3,2,0,2,2.5
세종특별자치,4,0,2,8,0.75
속초,1,1,0,6,0.33
수원 권선,2,3,3,7,1.14
수원 영통,5,8,3,7,2.29
수원 장안,1,8,0,5,1.8
수원 팔달,5,6,6,8,2.12
시흥,3,1,2,15,0.4
안동,2,0,0,5,0.4
안산 단원,3,3,0,9,0.67
안산 상록,1,2,1,11,0.36
안양 동안,3,2,2,9,0.78
양산,2,3,2,5,1.4
양평,1,0,0,5,0.2
여수,1,4,0,10,0.5
여주,1,0,0,7,0.14
영주,1,0,0,3,0.33
오산,4,6,0,5,2.0
용인 기흥,1,8,2,5,2.2
용인 수지,4,5,1,5,2.0
울산 남구,4,13,1,11,1.64
울산 동구,1,3,0,3,1.33
울산 북구,1,3,0,7,0.57
울산 중구,2,1,0,8,0.38
원주,1,5,0,13,0.46
의정부,9,7,1,11,1.55
이천,2,6,2,8,1.25
익산,2,4,0,6,1.0
인천 계양,2,2,3,3,2.33
인천 남동,4,7,6,13,1.31
인천 미추홀,4,3,0,11,0.64
인천 부평,2,8,4,12,1.17
인천 서구,2,1,2,9,0.56
인천 연수,4,4,1,8,1.12
인천 중구,5,1,3,6,1.5
전주 덕진,2,4,0,8,0.75
전주 완산,4,3,4,8,1.38
정읍,1,1,0,3,0.67
제주,2,8,0,8,1.25
진주,2,6,1,11,0.82
진천,1,0,0,0,0.0
창원 성산,1,4,1,4,1.5
창원 의창,2,5,0,6,1.17
창원 진해,1,4,0,5,1.0
창원 합포,1,2,0,0,0.0
창원 회원,3,4,1,8,1.0
천안 동남,2,4,0,8,0.75
천안 서북,1,7,0,10,0.8
청주 상당,1,3,2,9,0.67
청주 청원,1,2,1,5,0.8
청주 흥덕,3,2,1,12,0.5
춘천,3,4,4,5,2.2
파주,3,0,0,12,0.25
평택,6,5,1,18,0.67
포천,1,1,1,3,1.0
포항 남구,4,3,1,2,4.0
포항 북구,2,6,2,5,2.0
하남,2,1,2,5,1.0
홍성,1,2,0,1,3.0
홍천,4,0,0,3,1.33
화성,5,6,1,18,0.67
과천,0,3,0,1,3.0
광주 남구,0,6,1,9,0.78
논산,0,2,0,4,0.5
당진,0,2,1,4,0.75
대전 대덕,0,3,0,7,0.43
동해,0,3,1,0,0.0
밀양,0,2,0,0,0.0
보령,0,1,0,3,0.33
부산 강서,0,1,0,4,0.25
부산 동구,0,2,0,2,1.0
부산 북구,0,7,1,6,1.33
부산 사하,0,5,1,4,1.5
부산 수영,0,6,0,3,2.0
부산 영도,0,1,0,2,0.5
서귀포,0,6,0,5,1.2
서울 강북,0,6,2,4,2.0
성남 중원,0,1,0,4,0.25
순천,0,6,0,9,0.67
아산,0,3,1,9,0.44
안성,0,1,0,10,0.1
안양 만안,0,2,3,9,0.56
양주,0,1,0,3,0.33
용인 처인,0,4,1,10,0.5
울산 울주,0,1,0,5,0.2
의왕,0,1,1,3,0.67
제천,0,1,0,3,0.33
창원,0,1,0,1,1.0
청주 서원,0,6,0,6,1.0
충주,0,1,0,5,0.2
통영,0,2,0,0,0.0
횡성,0,0,1,1,1.0
가평,0,0,0,4,0.0
강진,0,0,0,1,0.0
거창,0,0,0,2,0.0
계룡,0,0,0,2,0.0
고령,0,0,0,1,0.0
고성(강원),0,0,0,1,0.0
고성(경남),0,0,0,3,0.0
고흥,0,0,0,1,0.0
곡성,0,0,0,1,0.0
공주,0,0,0,3,0.0
괴산,0,0,0,1,0.0
구례,0,0,0,2,0.0
금산,0,0,0,2,0.0
김제,0,0,0,2,0.0
남원,0,0,0,1,0.0
남해,0,0,0,1,0.0
담양,0,0,0,4,0.0
무주,0,0,0,1,0.0
문경,0,0,0,3,0.0
보성,0,0,0,1,0.0
보은,0,0,0,1,0.0
봉화,0,0,0,3,0.0
부산 서구,0,0,0,1,0.0
부여,0,0,0,3,0.0
산청,0,0,0,1,0.0
서천,0,0,0,1,0.0
성주,0,0,0,1,0.0
순창,0,0,0,1,0.0
안산,0,0,0,1,0.0
양구,0,0,0,1,0.0
양양,0,0,0,2,0.0
연천,0,0,0,1,0.0
영천,0,0,0,2,0.0
예산,0,0,0,1,0.0
옥천,0,0,0,1,0.0
완주,0,0,0,2,0.0
울릉,0,0,0,1,0.0
울진,0,0,0,2,0.0
음성,0,0,0,3,0.0
의령,0,0,0,1,0.0
의성,0,0,0,1,0.0
인제,0,0,0,2,0.0
인천 강화,0,0,0,2,0.0
인천 옹진,0,0,0,1,0.0
장성,0,0,0,1,0.0
장수,0,0,0,1,0.0
정선,0,0,0,1,0.0
증평,0,0,0,1,0.0
진안,0,0,0,1,0.0
창녕,0,0,0,2,0.0
청도,0,0,0,1,0.0
태백,0,0,0,1,0.0
평창,0,0,0,1,0.0
하동,0,0,0,1,0.0
함평,0,0,0,1,0.0
화천,0,0,0,2,0.0
