구별,발생,검거,살인,강도,강간,절도,폭력,살인검거율,강도검거율,강간검거율,절도검거율,폭력검거율
종로구,3846,4117,4,7,238,1515,2082,100.0,100.0,100.0,70.56105610561056,90.87415946205572
중구,4327,2804,2,6,195,2202,1922,50.0,83.33333333333334,58.97435897435898,47.68392370572207,84.96357960457857
용산구,3313,2611,3,3,272,999,2036,100.0,100.0,87.13235294117648,54.454454454454456,89.53831041257368
성동구,2512,1838,6,9,133,970,1394,83.33333333333334,100.0,72.18045112781954,52.680412371134025,87.2309899569584
광진구,4011,2816,4,6,273,1875,1853,100.0,83.33333333333334,78.02197802197803,53.76,85.53696708041014
동대문구,3692,2818,6,10,168,1531,1977,100.0,90.0,85.11904761904762,54.01698236446767,92.71623672230652
중랑구,4268,3138,10,4,138,1666,2450,100.0,100.0,78.26086956521739,54.50180072028812,86.0
성북구,2877,2323,3,3,176,1082,1613,100.0,100.0,73.86363636363636,67.56007393715342,90.26658400495971
강북구,3838,3023,6,3,176,1229,2424,100.0,66.66666666666666,82.38636363636364,54.027664768104145,91.006600660066
도봉구,2110,1497,1,5,90,790,1224,100.0,100.0,92.22222222222223,49.87341772151899,82.84313725490196
노원구,4153,2964,4,3,184,1498,2464,100.0,100.0,85.86956521739131,45.460614152202936,85.95779220779221
은평구,3880,3000,3,1,194,1565,2117,100.0,100.0,83.50515463917526,62.42811501597444,87.71846953235712
서대문구,2943,2020,2,5,175,1226,1535,50.0,100.0,88.0,48.939641109298535,82.08469055374593
마포구,4842,3170,2,2,495,2190,2153,100.0,100.0,84.24242424242424,41.87214611872146,85.09057129586624
양천구,3214,2124,6,2,127,1477,1602,100.0,100.0,88.18897637795276,42.924847664184156,85.51810237203496
강서구,4924,3543,8,3,306,2050,2557,100.0,100.0,83.98692810457517,52.53658536585366,85.8818928431756
구로구,4707,3291,10,3,226,1916,2552,90.0,100.0,73.00884955752213,50.36534446764092,84.1692789968652
금천구,3105,2343,6,10,153,1157,1779,100.0,60.0,82.35294117647058,53.15471045808125,89.3760539629005
영등포구,5820,3787,10,3,356,2409,3042,100.0,100.0,67.13483146067416,44.333748443337484,81.09796186719264
동작구,3400,2195,4,1,251,1328,1816,50.0,100.0,43.82470119521912,43.59939759036144,82.76431718061674
관악구,5328,3810,13,10,408,2223,2674,76.92307692307693,100.0,82.1078431372549,48.80791722896986,88.59386686611818
서초구,5542,3750,5,7,616,2270,2644,100.0,71.42857142857143,66.88311688311688,49.25110132158591,83.58547655068078
강남구,7304,5069,5,5,666,2970,3658,60.0,100.0,84.38438438438438,45.08417508417508,86.35866593767085
송파구,5698,3799,7,10,273,2416,2992,100.0,100.0,84.24908424908425,42.05298013245033,84.72593582887701
강동구,4014,2955,6,15,180,1650,2163,83.33333333333334,93.33333333333333,86.11111111111111,54.96969696969697,86.63892741562644
