관서명,주소,위도,경도
서울지방경찰청,서울시 종로구 사직로8길 31,37.5748809503452,126.971986278681
서울강남경찰서,서울시 강남구 테헤란로 114길 11,37.5093666837584,127.067099927292
서울강동경찰서,서울시 강동구 성내로 57,37.5286775394179,127.126957376122
서울강북경찰서,서울시 강북구 오패산로 406,37.6371702113794,127.02704154856
서울강서경찰서,서울시 양천구 화곡로 73,37.5398006630445,126.829981769687
서울관악경찰서,서울시 관악구 관악로5길 33,37.4742339489414,126.951870098434
서울광진경찰서,서울시 광진구 자양로 167,37.5429114164928,127.083902174384
서울구로경찰서,서울시 구로구 가마산로 235,37.4945320625106,126.887014988407
서울금천경찰서,서울시 금천구 시흥대로73길 50,37.4572513426249,126.89674718252
서울남대문경찰서,서울시 중구 한강대로 410,37.5548113505249,126.973548781722
서울노원경찰서,서울시 노원구 노원로 283,37.6419746781908,127.070799102184
서울도봉경찰서,서울시 도봉구 노해로 403,37.653512289133,127.052576430748
서울동대문경찰서,서울시 동대문구 약령시로21길 29,37.5851576234405,127.04579431949
서울동작경찰서,서울시 동작구 노량진로 148,37.5127958577043,126.94254949086
서울마포경찰서,서울시 마포구 마포대로 183,37.5508297062539,126.95401789968
서울방배경찰서,서울시 서초구 동작대로 204,37.4946896055276,126.983287781467
서울서대문경찰서,서울 서대문구 통일로 113,37.5650853221302,126.967074308467
서울서부경찰서,서울시 은평구 진흥로 58,37.602113057788,126.921296096829
서울서초경찰서,서울시 서초구 반포대로 179,37.4957432310691,127.005161343516
서울성동경찰서,서울시 성동구 왕십리광장로 9,37.5620026859035,127.036199405949
서울성북경찰서,서울 성북구 보문로 170,37.5899802077163,127.016215494968
서울송파경찰서,서울시 송파구 중대로 221,37.5018485742256,127.127601007067
서울수서경찰서,서울시 강남구 개포로 617,37.4935488025263,127.077143662733
서울양천경찰서,서울시 양천구 목동동로 99,37.516676240279,126.865594446627
서울영등포경찰서,서울시 영등포구 국회대로 608,37.5259558739717,126.901006097977
서울용산경찰서,서울시 용산구 원효로89길 24,37.5415376293887,126.96764793869
서울은평경찰서,서울시 은평구 연서로 365,37.6278139549484,126.929155538224
서울종로경찰서,서울시 종로구 율곡로 46,37.5758763395858,126.984551353036
서울종암경찰서,서울시 성북구 종암로 135,37.6023479892694,127.032208510042
서울중랑경찰서,서울시 중랑구 신내역로3길 40-10,37.6182542824294,127.104468079425
서울중부경찰서,서울시 중구 수표로 27,37.5636321301236,126.990020639754
서울혜화경찰서,서울시 종로구 창경궁로 112-16,37.5717676404547,126.999273268519
